Count of Crm Cd,Column Labels,,,,,,,,,,,
Row Labels,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BURGLARY,"MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE",ROBBERY,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT FROM PERSON - ATTEMPT,"THEFT, PERSON",Grand Total
6037540800,12,15,,,2,8,,,8,,5,50
6037540901,55,32,,,4,42,,3,17,,9,162
6037541001,3,1,,,,2,,,1,,,7
6037541002,1,,,,,,,,3,,,4
6037543503,2,5,,,,,,7,4,,,18
6037543602,4,10,,,2,3,,2,2,,,23
6037543603,16,19,,,,5,,1,10,,1,52
6037543703,15,36,,,,13,1,1,19,,,85
6037600100,111,56,,,6,122,,5,53,,21,374
6037600201,21,24,,,3,20,,4,5,,1,78
6037600202,16,19,,,,9,,7,8,,,59
6037600303,1,,,,,3,,,,,,4
6037600304,32,46,,1,2,32,1,4,24,,4,146
6037600400,17,7,,,,9,,2,1,,2,38
6037600601,,1,,,,2,,,1,,,4
6037600704,1,3,,,,,,2,1,,,7
6037600801,32,22,,,2,25,,11,15,,3,110
6037600802,27,14,,,,26,,4,9,,8,88
6037600911,,1,,,,,,,,,,1
6037600912,47,27,,,3,16,,4,8,,5,110
6037601302,4,10,,,1,5,,1,7,,1,29
6037601303,1,1,,,,1,,1,,,,4
6037601401,3,13,,1,,2,,4,5,,,28
6037601402,5,7,,,4,7,,1,5,,,29
6037601501,2,1,,,,,,,,,,3
6037601502,3,2,,,1,4,,2,4,,1,17
6037601600,,2,,,,1,,,1,,,4
6037602200,1,,,,,,1,,2,,,4
6037602801,4,2,,,,3,,1,2,,,12
6037602802,5,3,,,1,12,,,4,,1,26
6037603001,5,4,,,2,,,1,4,,,16
6037603004,2,6,,,,2,,2,3,,,15
6037603101,4,18,,,1,5,,1,8,,,37
6037603102,13,17,,,,11,,2,6,,1,50
6037603200,2,16,,,,,,5,6,,,29
6037603302,,3,,,,,,2,,,,5
6037609900,37,51,,,2,14,2,6,33,,4,149
6037620102,,,,,,,,1,,,,1
6037650101,,4,,,,3,,,,,,7
6037650901,1,4,,,,2,,,1,,1,9
6037651001,7,15,,,,2,1,1,8,,2,36
6037670001,1,2,,,,,,1,,,,4
6037670002,11,22,,,1,8,,2,7,,1,52
6037670100,3,4,,,,4,,,3,,,14
6037670701,,17,,1,,3,,3,15,,,39
6037700101,23,26,,,3,24,,8,18,,2,104
6037700102,39,62,,,2,42,1,18,46,,3,213
6037700200,8,23,,,1,16,,8,13,,4,73
6037700300,6,32,,,3,8,,12,10,,2,73
6037700501,1,,,,1,,,,,,,2
6037700502,8,35,,1,1,10,,11,5,,,71
6037700600,,1,,,1,,,4,1,,,7
6037700700,,1,,,,,,,,,,1
6037700802,12,36,,,,22,1,8,16,,5,100
6037700901,13,61,,,2,17,,13,29,,3,138
6037700902,6,33,,,4,5,,5,10,,,63
6037701000,1,11,,,,,,1,5,1,,19
6037701100,12,40,,,2,8,1,22,37,,3,125
6037701201,,,,,,,,1,1,,,2
6037701304,3,10,,,,1,,5,2,,,21
6037701601,,13,,,,3,,6,4,,,26
6037701602,1,4,,,,2,,2,2,,,11
6037701701,5,3,,,,2,,2,9,,1,22
6037701801,2,7,,,,1,,2,3,,,15
6037702102,50,38,,1,4,21,1,11,23,,7,156
6037702202,16,36,,,2,13,,6,11,,3,87
6037702300,,8,,,,1,,2,2,,,13
6037702400,17,27,,1,3,14,,3,21,,6,92
6037702501,1,7,,,1,5,,3,1,,1,19
6037702502,1,1,,,,,,,,,,2
