"","Row Labels","Count of PARK_NAME","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","BURGLARY","MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE","ROBBERY","THEFT FROM MOTOR VEHICLE - ATTEMPT","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","THEFT FROM PERSON - ATTEMPT","THEFT, PERSON","Grand Total","Total population","Median Income","Pools","Gym","Restroom"
"190",6037207400,4,52,41,0,1,9,36,1,13,25,0,13,191,1064,"-",0,1,1
"191",6037207502,5,202,43,0,1,15,191,0,6,34,2,44,538,2610,"15350",0,0,0
"192",6037208000,1,12,31,0,1,3,14,0,12,16,0,2,91,7248,"38152",0,0,0
"193",6037208402,1,16,10,0,0,1,17,0,6,13,0,1,64,2908,"37457",1,1,2
"194",6037209104,4,29,19,0,1,5,23,0,5,36,0,4,122,2499,"19887",1,1,0
"195",6037209200,6,105,76,0,2,14,108,1,17,31,2,35,391,3584,"37548",0,0,1
"196",6037209300,1,22,32,0,0,4,25,1,6,22,0,4,116,4826,"25191",1,0,0
"197",6037210010,1,66,52,0,1,5,64,0,7,35,0,15,245,3626,"24323",0,0,0
"198",6037211320,1,8,3,0,0,2,3,0,2,8,0,1,27,3117,"30018",0,0,0
"199",6037211804,1,6,33,0,0,1,8,0,2,8,0,2,60,3193,"32235",0,0,0
"200",6037212204,2,62,34,0,0,8,56,1,5,32,0,7,205,3627,"25104",0,0,1
"201",6037212304,1,6,4,0,0,1,32,0,2,8,0,1,54,1791,"26005",0,0,1
"202",6037212900,1,0,5,0,0,3,4,0,1,4,0,0,17,4927,"40346",0,0,0
"203",6037213401,2,79,60,0,0,11,67,0,7,48,0,12,284,5290,"31419",0,0,1
"204",6037213402,1,91,54,0,2,9,58,1,6,57,0,16,294,4528,"33398",0,0,0
"205",6037215102,1,7,70,0,0,0,13,0,14,11,0,4,119,3052,"59018",1,1,1
"206",6037216100,1,5,14,0,1,1,3,0,5,4,0,0,33,2804,"96552",0,0,0
"207",6037216300,1,3,29,0,0,1,9,0,6,8,0,2,58,4822,"84063",0,0,0
"208",6037216800,1,5,22,0,0,0,4,0,3,2,0,0,36,3189,"82063",0,0,0
"209",6037218220,2,17,17,0,0,3,20,0,11,17,0,4,89,4666,"41276",1,1,0
"210",6037218702,1,17,11,0,0,4,3,0,2,15,0,0,52,2318,"35330",0,0,0
"211",6037218800,1,5,7,0,1,0,3,0,0,4,0,2,22,3024,"46198",0,0,0
"212",6037218900,1,8,11,0,0,0,9,0,3,5,0,2,38,5638,"34304",0,0,0
"213",6037220000,1,41,45,0,0,5,36,0,10,32,0,8,177,5312,"43333",0,0,0
"214",6037220100,1,10,29,0,0,2,17,0,4,13,0,1,76,2375,"39663",0,1,0
"215",6037221303,1,9,18,0,0,0,11,1,2,15,0,1,57,2710,"28125",0,1,0
"216",6037221304,1,29,57,0,0,4,35,0,7,42,0,15,189,3954,"40947",0,0,0
"217",6037221602,1,9,10,0,0,0,4,0,0,3,0,3,29,2865,"25625",0,1,0
"218",6037222001,2,17,11,0,0,2,10,0,5,5,0,0,50,3068,"50179",0,0,1
"219",6037222002,1,35,16,0,0,2,7,0,5,12,0,1,78,4882,"42431",0,0,0
"220",6037222200,2,45,29,0,1,5,33,1,11,41,0,3,169,3765,"34142",0,0,0
"221",6037222600,2,19,19,0,0,3,14,0,7,22,0,1,85,5496,"26188",0,0,0
"222",6037222700,2,9,9,0,0,1,12,0,2,7,0,2,42,4056,"6875",0,0,0
"223",6037224010,1,37,12,0,1,5,18,0,13,29,0,7,122,2471,"19976",0,0,0
"224",6037224310,1,33,18,0,0,1,55,0,9,24,0,7,147,2117,"30000",0,0,1
"225",6037224410,1,32,8,0,0,2,29,0,3,14,0,8,96,3282,"26582",0,0,0
"226",6037224420,3,32,8,0,1,5,24,0,4,24,0,5,103,2409,"22563",0,1,0
"227",6037224700,4,43,64,0,1,8,29,0,10,39,1,11,206,6541,"10042",0,0,3
"228",6037226002,1,199,62,0,1,17,171,0,17,64,0,33,564,1761,"29375",0,0,0
"229",6037226700,1,14,4,0,0,1,18,0,1,14,0,4,56,6776,"32034",0,0,0
"230",6037227020,1,31,12,0,0,3,25,0,10,22,0,10,113,3539,"34375",1,1,0
"231",6037228220,2,16,2,0,0,1,4,0,2,7,0,1,33,4300,"31542",1,1,5
"232",6037228600,1,24,11,0,1,0,24,0,6,14,1,4,85,4995,"33594",0,0,0
"233",6037229100,1,23,11,0,0,0,17,1,2,6,0,3,63,4892,"42518",0,1,0
"234",6037229200,2,34,7,0,0,1,20,0,4,16,0,5,87,4414,"25598",0,0,0
"235",6037229420,2,38,23,0,0,1,50,0,6,31,0,12,161,4786,"31182",0,0,0
"236",6037231100,1,27,35,0,0,3,16,0,4,19,0,8,112,3516,"26250",0,0,0
"237",6037231400,1,12,21,0,2,2,21,0,3,12,0,7,80,5198,"35814",0,1,0
"238",6037231600,2,19,9,0,1,0,8,0,2,6,0,1,46,6957,"35731",0,0,1
"239",6037231720,1,12,7,0,0,0,8,0,1,6,0,4,38,4789,"29773",1,0,1
"240",6037231800,1,54,13,0,0,2,60,0,6,27,0,6,168,4944,"27083",0,0,0
"241",6037231900,1,24,18,0,0,1,18,0,4,18,0,4,87,5454,"25854",0,0,0
"242",6037232600,1,22,19,0,0,0,21,0,4,19,0,3,88,6073,"27388",0,0,1
"243",6037232700,1,19,6,0,0,2,11,0,4,8,0,1,51,5968,"28125",0,0,0
"244",6037232800,2,86,37,0,1,9,78,0,8,48,0,12,279,3931,"29730",1,1,0
"245",6037234502,1,48,43,0,1,2,32,0,4,30,0,6,166,2721,"30489",0,0,0
"246",6037234600,1,16,10,0,0,2,15,0,3,10,0,1,57,5051,"36625",0,0,0
"247",6037235201,1,5,4,0,0,0,0,0,0,2,0,0,11,2677,"38250",0,0,0
"248",6037236000,1,7,9,0,0,0,6,0,1,4,0,0,27,4627,"78112",0,0,8
"249",6037236203,1,27,32,0,1,1,32,0,1,16,0,4,114,3399,"29042",0,0,0
"250",6037236204,1,94,61,0,1,7,79,0,9,37,0,11,299,3087,"23220",1,1,1
"251",6037236400,2,48,58,0,0,7,24,2,13,40,0,4,196,4293,"60275",0,1,0
"252",6037237202,2,104,29,0,1,6,76,1,13,48,0,17,295,4714,"36496",1,1,1
"253",6037237402,2,26,13,0,0,3,37,0,5,17,1,5,107,3030,"36125",1,0,0
"254",6037237710,1,8,2,0,0,0,5,0,1,9,0,3,28,3281,"25234",0,0,0
"255",6037238310,1,18,8,0,0,3,18,0,1,8,0,8,64,4927,"24369",0,0,0
"256",6037238320,1,21,19,0,1,1,8,0,4,23,0,3,80,4133,"24420",0,0,0
"257",6037238400,1,79,26,0,1,8,43,1,11,15,0,5,189,5334,"52036",0,0,0
"258",6037239201,1,54,26,0,0,7,52,1,4,26,0,7,177,3808,"31250",0,0,0
"259",6037239202,1,22,20,0,2,1,34,1,7,29,1,3,120,5347,"32647",0,0,1
"260",6037239330,2,15,10,0,0,0,16,0,4,15,0,4,64,3148,"36569",0,0,0
"261",6037239601,1,29,23,0,1,2,37,0,3,28,0,4,127,3644,"34477",0,0,0
"262",6037239701,1,34,23,0,1,1,63,0,1,17,1,12,153,4768,"30915",0,0,0
"263",6037239802,1,27,10,0,0,2,13,0,2,8,0,1,63,5102,"37639",1,0,0
"264",6037240200,1,85,45,0,2,3,53,0,6,30,0,11,235,5259,"26437",0,0,0
"265",6037240600,1,44,35,0,0,2,30,0,1,25,0,4,141,5685,"34240",0,0,0
"266",6037240700,1,10,12,0,0,3,11,0,1,8,0,2,47,6182,"39265",1,0,1
"267",6037241201,1,39,21,0,0,7,26,0,3,16,0,10,122,2884,"41705",0,0,0
"268",6037241400,1,48,27,0,0,7,40,0,3,23,0,12,160,3377,"29038",0,0,0
"269",6037242700,1,16,12,0,0,2,9,0,1,6,0,1,47,5969,"34722",1,1,0
"270",6037243000,1,18,6,0,0,0,7,0,0,2,0,1,34,7147,"42470",0,0,0
"271",6037243100,3,24,12,0,0,1,17,0,1,7,0,3,65,6459,"23698",0,0,0
"272",6037261101,5,0,12,0,0,0,0,0,1,5,0,0,18,3785,"202014",0,0,0
"273",6037261102,1,2,6,0,0,1,0,0,1,0,0,0,10,3969,"165875",0,0,0
